ID,CODE,DESCRIPTION,
10573,71186-1,I would rather do something by myself than with other people in the past 7 days [FACIT],
10574,68440-7,Gamma hydroxybutyrate [Moles/volume] in Urine,
10575,66091-0,Do you ever have any burning pain in your legs or feet [PhenX],
10576,26048-9,Canary serum proteins IgE Ab RAST class [Presence] in Serum,
10577,74999-4,5,10-Methylenetetrahydrofolate reductase [Enzymatic activity/mass] in Leukocytes,
10578,44938-9,Hepatitis D virus IgM Ab [Presence] in Serum by Immunoassay,
10579,72775-0,Venlafaxine/Creatinine [Mass Ratio] in Urine,
10580,16099-4,Ethionamide [Susceptibility] by Minimum inhibitory concentration (MIC),
10581,13773-7,2-Methylcitrate/Creatinine [Mass Ratio] in Urine,
10582,29445-4,Left ventricular posterior wall Thickness systole by US.M-mode,
10583,17352-6,Neutrophil cytoplasmic Ab [interpretation] in Serum,
10584,104-0,Ceforanide [Susceptibility] by Minimum inhibitory concentration (MIC),
10585,63524-3,Carboxyhemoglobin/Hemoglobin.total in Venous cord blood,
10586,54764-6,Ostomy (including suprapubic catheter and/or ileostomy and/or and colostomy) present in last 7 days [MDSv3],
10587,38374-5,Tenofovir [Mass/volume] in Serum or Plasma,
10588,22017-8,State defined narrative Narrative,
10589,58935-8,Yersinia pseudotuberculosis Ab [Presence] in Serum by Agglutination,
10590,73212-3,Penicillin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10591,64851-9,Was that mainly because of your eyesight and/or mainly for some other reason and/or or because of both your eyesight and other reasons [PhenX],
10592,51924-9,Neutrophil cytoplasmic Ab [Titer] in Serum by Immunofluorescence,
10593,7576-2,Peach triggered histamine release [Units/volume] in Blood,
10594,47433-8,Epstein Barr virus capsid IgM Ab [Titer] in Body fluid,
10595,11560-0,Acetylcholine receptor binding Ab [Units/volume] in Serum,
10596,66185-0,What number describes how much your insomnia has affected your social life or relationships with your friends [PhenX],
10597,66786-5,How well can you express your opinions when other classmates disagree with you [PhenX],
10598,16782-5,Deprecated DNA double strand Ab [Presence] in Serum by Farr method,
10599,68684-0,Neonatal perinatal medicine Letter,
10600,70823-0,I worry that my treatment will be delayed and/or because of low blood counts and/or in the past 7 days [FACIT],
10601,31909-5,Neisseria meningitidis A+C+w135+Y Ag [Presence] in Cerebral spinal fluid,
10602,65648-8,Zip - post code Facility,
10603,66976-2,How many times in the last year have you been involved in gang fights [PhenX],
10604,60152-6,Pentobarbital [Mass/volume] in Body fluid,
10605,58140-5,Physical therapy - group minutes [MDSv3],
10606,58405-2,Hepatitis B virus surface Ab Signal/Cutoff in Serum,
10607,46238-2,Kappa lymphocytes/100 lymphocytes in Body fluid,
10608,33560-4,Benzodiazepines [Mass/volume] in Gastric fluid,
10609,53041-0,DNA region of interest panel - Blood or Tissue by Molecular genetics method,
10610,48032-7,THRB gene p.A317T [Presence] in Blood or Tissue by Molecular genetics method,
10611,17927-5,Bacteria # 3 identified in Wound deep by Anaerobe culture,
10612,66962-2,How many times in the last year have you stolen or tried to steal money or things worth 100 dollars or more [PhenX],
10613,73759-3,Hysterotomy or hysterectomy was performed at delivery [US Standard Report of Fetal Death],
10614,45179-9,Herpes gestationis IgG Ab complement fixing [Presence] in Serum by Immunofluorescence,
10615,64313-0,Full time dietitian staff positions vacant at end of period population #,
10616,5728-1,Silicon [Mass/volume] in Blood,
10617,69595-7,Climbing stairs - confidence - score change [OPTIMAL],
10618,22644-9,Serine [Moles/volume] in Cerebral spinal fluid,
10619,74365-8,Palmitoyl protein thioesterase [Enzymatic activity/mass] in Fibroblast,
10620,57654-6,Tidal volume.inspired maximum setting Ventilator alarm,
10621,764-1,Neutrophils.band form/100 leukocytes in Blood by Manual count,
10622,46018-8,Disease or condition diagnoses section,
10623,22810-6,Infectious bronchitis virus RNA [Presence] in Unspecified specimen by Probe and target amplification method,
10624,26654-4,Hantavirus sin nombre IgG Ab [Presence] in Serum,
10625,10402-6,Immune serum globulin given [Volume],
10626,6786-8,Immunoglobulin light chains.kappa [Presence] in Urine by Electrophoresis,
10627,12251-5,Rubella virus Ag [Presence] in Unspecified specimen by Immunofluorescence,
10628,47747-1,Serine/Amino acids.total in Dried blood spot,
10629,70329-8,I am able to put my thoughts into action in the past 7 days [FACIT],
10630,57345-1,Creatinine [Mass/volume] in Peritoneal dialysis fluid --overnight,
10631,58251-0,Deprecated PhenX measure - rheumatic fever,
10632,18096-8,Pulmonic valve Orifice [Area] by US.continuity,
10633,56129-0,Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunofluorescence,
10634,9845-9,Unspecified body region Circumference Percentile,
10635,46574-0,Prior: management of injectable medications [OASIS],
10636,40882-3,CD3-CD57+ cells/100 cells in Body fluid,
10637,3308-4,Alphaprodine [Mass/volume] in Serum or Plasma,
10638,13167-2,Streptococcus pneumoniae 51 Ab [Units/volume] in Serum,
10639,66675-0,Extensive scarring or panniculum other than scalp and pulp space [PhenX],
10640,10039-6,S wave amplitude in lead III,
10641,57083-8,Labor and Delivery record panel,
10642,25300-5,Toxoplasma gondii IgG Ab [Ratio] in Serum --1st specimen/2nd specimen,
10643,16575-3,Deprecated Cerebroside sulfatase B in urine,
10644,348-3,Nafcillin [Susceptibility] by Disk diffusion (KB),
10645,3175-7,Antithrombin Ag [Units/volume] in Platelet poor plasma by Immunologic method,
10646,51323-4,CD42 cells/100 cells in Bone marrow,
10647,28417-4,Communication With Community Resources Status Family [OMAHA],
10648,9203-1,Fluid output wound drain [Volume],
10649,679-1,Microscopic observation [Identifier] in Unspecified specimen by Warthin-Starry stain,
10650,5910-5,Lactate dehydrogenase isoenzymes [interpretation] in Serum or Plasma,
10651,1669-1,Deprecated 17-Hydroxyprogesterone [Mass/volume] in Serum,
10652,35351-6,Myotonic dystrophy gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
10653,32382-4,Deprecated Nitroxoline [Susceptibility],
10654,57052-3,Emergent care,
10655,58504-2,C peptide [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,
10656,72492-2,Paraoxonase-arylesterase 1 (PON1) [Enzymatic activity/volume] in Serum,
10657,55753-8,Treatment information,
10658,12633-4,Glucose [Mass/volume] in Peritoneal dialysis fluid --4th specimen,
10659,61483-4,What is your serving size for decaffeinated coffee (instant and brewed) [PhenX],
10660,8107-5,CD10 cells/100 cells in Blood,
10661,2864-7,Alpha 1 globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,
10662,47777-8,Somatotropin [Units/volume] in Serum or Plasma --pre dose insulin IV,
10663,26707-0,Aluminum [Mass/time] in 24 hour Urine,
10664,65838-5,Date submitted,
10665,47290-2,IgG subclass panel [Mass/volume] - Serum,
10666,59495-2,Collaborative staging site-specific factor 13 Cancer,
10667,2158-4,Creatine kinase.total/Creatine kinase.MB [Enzymatic activity ratio] in Serum or Plasma,
10668,15833-7,Coastal Maple IgE Ab RAST class [Presence] in Serum,
10669,25548-9,Urate [Moles/volume] in Body fluid,
10670,25793-1,Thyroxine (T4) free [Moles/volume] in Serum or Plasma --4th specimen post XXX challenge,
10671,40719-7,Hemoglobin [Mass/volume] in Cord blood,
10672,71453-5,Intellectual disability and developmental disability with no organic condition [MDSv3],
10673,4711-8,HLA-A w74(w19) [Presence] in donor,
10674,70774-5,Comments from others [FACIT],
10675,10330-9,Monocytes/100 leukocytes in Body fluid by Manual count,
10676,24486-3,Grass Allergen Mix 2 (Bermuda grass+Perennial rye grass+Timothy+Kentucky blue grass+Johnson grass+Bahia grass) IgE Ab RAST class [Presence] in Serum by Multidisk,
10677,49324-7,11-Deoxycortisol [Mass/volume] in Serum or Plasma --2 hours post dose metyrapone,
10678,51686-4,Pregnenolone [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,
10679,5199-5,Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB),
10680,10481-0,Follitropin.alpha subunit Ag [Presence] in Tissue by Immune stain,
10681,1876-2,Apolipoprotein C-II [Mass/volume] in Serum or Plasma,
10682,75046-3,Sialate [Moles/volume] in Cerebral spinal fluid,
10683,31639-8,Streptococcus pneumoniae 26 IgG Ab [Units/volume] in Serum --2nd specimen,
10684,7204-1,Cheese cheddar type IgG Ab [Units/volume] in Serum,
10685,10866-2,Sulfatide IgG Ab [Titer] in Serum,
10686,41074-6,NPHS1 gene mutations found [Identifier] in Body fluid by Molecular genetics method Nominal,
10687,68452-2,Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid by Pyruvate to lactate reaction,
10688,60180-7,Tellurium [Mass/volume] in Red Blood Cells,
10689,20671-4,Deprecated Amino acids [interpretation] in Serum or Plasma,
10690,15931-9,Phoma betae IgE Ab RAST class [Presence] in Serum,
10691,810-2,Leukocytes [#/volume] in Peritoneal fluid by Manual count,
10692,60554-3,CD59 deficient monocytes/100 cells in Blood,
10693,60052-8,Alphapinene [Mass/volume] in Blood,
10694,29294-6,Methadone [Mass/volume] in Gastric fluid,
10695,33354-2,N-acetyl-beta-glucosaminidase [Enzymatic activity/volume] in Urine,
10696,71811-4,I have been sleeping too much since I took my last screen [M3],
10697,1503-2,Glucose [Mass/volume] in Urine --1 hour post 100 g glucose PO,
10698,54262-1,Glucose [Moles/volume] in Serum or Plasma --3 hours pre dose insulin IV,
10699,54013-8,Vinculin Ab [Presence] in Serum by Immunofluorescence,
10700,16729-6,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma --8th specimen post XXX challenge,
10701,55752-0,Clinical information,
10702,67194-1,Verbatim description of primary colorectal cancer diagnosis Narrative [PhenX],
10703,51576-7,Silver Birch recombinant (rBet v) 2 + 4 IgE Ab RAST class [Presence] in Serum,
10704,16433-5,Basement membrane Ab [Presence] in Serum,
10705,44592-4,IgD [Presence] in Serum,
10706,49865-9,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Chromogenic method,
10707,6183-8,Mugwort IgE Ab [Units/volume] in Serum,
10708,21944-4,Lung and leukemia CNS radiation status Cancer,
10709,55257-0,Date of last Clostridium tetani immunization,
10710,6779-3,IgA [Mass/volume] in Urine by Immunoassay,
10711,27407-6,Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum by Immunoassay --1st specimen,
10712,45072-6,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Anal by DNA probe,
10713,41130-6,Mycobacterium avium ss paratuberculosis Ab [Units/volume] in Serum,
10714,74504-2,16-Beta,18-dihydroxydehydroepiandrosterone [Moles/volume] in 24 hour Urine,
10715,3978-4,Primidone [Mass/volume] in Serum or Plasma,
10716,19720-2,Trichlorothiazide [Mass/volume] in Urine by Confirmatory method,
10717,26827-6,Testosterone/Creatinine [Mass Ratio] in 24 hour Urine,
10718,61728-2,When I was in pain I called out for someone to help me in past 7 days [PROMIS],
10719,40472-3,Tetradecadienoate (C14:2)/Creatinine [Mass Ratio] in Urine,
10720,43975-2,Aprobarbital [Presence] in Unspecified specimen,
10721,8106-7,CD1 cells/100 cells in Blood,
10722,42367-3,Streptococcus pneumoniae 58 IgG Ab [Mass/volume] in Serum,
10723,6289-3,Lysozyme [Moles/volume] in Serum or Plasma,
10724,68313-6,I was able to zip up my clothes in the past 7 days [NeuroQol.Peds],
10725,28336-6,Role Change Knowledge [OMAHA],
10726,12542-7,N-methylacetamide [Mass/volume] in Urine,
10727,40095-2,Prothrombin time (PT) in Platelet poor plasma by Coagulation assay --6 hours post XXX challenge,
10728,44094-1,Epithelial cells.squamous [#/area] in Vaginal fluid by Light microscopy,
10729,59555-3,Flag for Date 1st radiation treatment not populated Cancer,
10730,61325-7,European Hornet IgE Ab [Ratio] in Serum,
10731,58010-0,MSH2gene+MLH1gene+MSH6 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10732,51275-6,CD3+CD16+ cells/100 cells in Cerebral spinal fluid,
10733,30277-8,Efavirenz [Susceptibility] by Phenotype method,
10734,75143-8,Deoxyuridine [Moles/volume] in Cerebral spinal fluid,
10735,39190-4,Hearing screen results indicator CPHS,
10736,16748-6,Propoxyphene [Presence] in Serum or Plasma by Confirmatory method,
10737,23713-1,Ethylene glycol [Presence] in Serum or Plasma,
10738,43163-5,Quaternary ammonium compound [Mass/volume] in Unspecified specimen,
10739,21802-4,t(11;19)(q23;p13.3)(MLL,MLLT1) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method,
10740,55872-6,Dicarboxypalmitoylcarnitine (C16-DC) [Moles/volume] in Serum or Plasma,
10741,60637-6,Frankfort horizontal plane to mandibular plane using constructed Gonion [Angle] Skull X-ray measured,
10742,63134-1,Sardine (pilchard) IgG Ab [Mass/volume] in Serum,
10743,41065-4,PTPN11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10744,14136-6,CD34 cells [#/volume] in Blood,
10745,46189-7,Goose parvovirus Ab [Presence] in Serum,
10746,45456-1,Medicaid per diem [Minimum Data Set],
10747,28765-6,Schober test,
10748,67490-3,Mass casualty incident NEMSIS,
10749,62137-5,I have been physically able to do the activities I enjoy most in past 7 days [PROMIS],
10750,50560-2,pH of Urine by Automated test strip,
10751,17599-2,Volume of 24 hour Peritoneal dialysis fluid,
10752,18399-6,Polio virus 3 Ab [Titer] in Cerebral spinal fluid by Complement fixation,
10753,59254-3,Acylcarnitine/Acylcarnitine+Carnitine Free (C0) [Molar ratio] in Serum or Plasma,
10754,43400-1,Lactobacillus sp morphotypes [Presence] in Vaginal fluid by Light microscopy,
10755,46266-3,Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay,
10756,66932-5,Was there any other time when anyone and/or male or female and/or tried to force or bully you into doing something sexual that you didn't want to do and/or but it didn't end up happening [PhenX],
10757,19356-5,Barbital cutoff [Mass/volume] in Urine for Confirmatory method,
10758,19071-0,Blood removed from patient [Volume],
10759,7613-3,Pistachio IgE Ab [Units/volume] in Serum,
10760,3250-8,Fibrin monomer [Units/volume] in Platelet poor plasma by Latex agglutination,
10761,17719-6,Tramadol [Mass/volume] in Urine,
10762,22370-1,Japanese encephalitis virus Ab [Presence] in Serum,
10763,56015-1,Platelet aggregation collagen induced ATP secretion [Substance threshold] in Blood --1 ug/mL,
10764,22769-4,African horse sickness virus Ab [Titer] in Serum by Neutralization test,
10765,55902-1,IgA [Mass/volume] in Serum by Electrophoresis,
10766,20516-1,Amitriptyline+Nortriptyline [Mass/volume] in Urine by Confirmatory method,
10767,71270-3,My child gets ill easily in the past 7 days [FACIT],
10768,56123-3,IgM [Mass/volume] in Urine,
10769,69590-8,Pulling - confidence - score change [OPTIMAL],
10770,46050-1,Skin treatments Set,
10771,15674-5,Daisy IgE Ab RAST class [Presence] in Serum,
10772,27812-7,Antithrombin Ag actual/normal in Platelet poor plasma by Immunologic method,
10773,2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,
10774,52772-1,Clot formation.intrinsic coagulation system activated.heparin insensitive [Time] in Blood by Thromboelastography,
10775,33715-4,Francisella tularensis Ab [Presence] in Isolate by Slide agglutination,
10776,65277-6,I've gotten in trouble because I missed too much school [PhenX],
10777,71952-6,Child Development Inventory [CDI],
10778,38658-1,Acetate [Mass/volume] in Air,
10779,16194-3,Secobarbital [Presence] in Urine by Confirmatory method,
10780,68827-5,Pediatrics Hospital Note,
10781,73674-4,Streptococcus pneumoniae serotype [Type] in Isolate by Agglutination,
10782,19959-6,Fractional oxyhemoglobin in Arterial blood --during treatment,
10783,41348-4,Knee - right Flexion Passive Range of Motion Quantitative,
10784,31547-3,Pancreatic islet cell Ab [Presence] in Serum,
10785,70025-2,Candida krusei DNA [Presence] in Blood by Probe and target amplification method,
10786,20774-6,Colony count [Units/volume] in Unspecified specimen by Visual count,
10787,14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,
10788,53056-8,Decanoylcarnitine (C10) [Moles/volume] in Amniotic fluid,
10789,14376-8,Polymorphonuclear cells/100 leukocytes in Synovial fluid by Manual count,
10790,63893-2,Outcome of pregnancy [PhenX],
10791,22827-0,Influenza virus A subtype [Identifier] in Unspecified specimen by Probe and target amplification method,
10792,19021-5,Palpitation Cervix Study observation (narrative),
10793,59375-6,Medicare non-therapy Part A [MDSv3],
10794,12588-0,Creatinine [Mass/time] in 8 hour Urine,
10795,44428-1,Adenosine monophosphate.cyclic.nephrogenous/Creatinine [Molar ratio] in Urine,
10796,4433-9,Sulfonamide [Mass] of Dose,
10797,62121-9,I could do sports and exercise that other kids my age could do in past 7 days [PROMIS],
